entity_name,abbreviation,aliases,entity_type,irwm_region,notes,all_names,source
Olivenhain Municipal Water District,OMWD,Olivenhain Water|OMWD,Water District,San Diego,,Olivenhain Municipal Water District|OMWD|Olivenhain Water,DWR-IRWM|SDWIS
Sweetwater Authority,SWA,Sweetwater Water|SWA,Water Authority / Wholesaler,San Diego,,Sweetwater Authority|SWA|Sweetwater Water,DWR-IRWM|DWR-SWP
Rincon del Diablo Municipal Water District,RDDMWD,Rincon del Diablo Water|Rincon MWD|RDDMWD,Water District,San Diego,,Rincon del Diablo Municipal Water District|RDDMWD|Rincon del Diablo Water|Rincon MWD,DWR-IRWM|SDWIS
Valley Center Municipal Water District,VCMWD,Valley Center Water|VCMWD,Water District,San Diego,,Valley Center Municipal Water District|VCMWD|Valley Center Water,DWR-IRWM|SDWIS
Ramona Municipal Water District,RMWD,Ramona Water|RMWD,Water District,San Diego,,Ramona Municipal Water District|RMWD|Ramona Water,DWR-IRWM|SDWIS
Rainbow Municipal Water District,RMWD,Rainbow Water|Rainbow MWD,Water District,San Diego,Note: RMWD also used by Ramona Municipal Water District,Rainbow Municipal Water District|RMWD|Rainbow Water|Rainbow MWD,DWR-IRWM|SDWIS
Fallbrook Public Utility District,FPUD,Fallbrook Utility District|FPUD,Water District,San Diego,,Fallbrook Public Utility District|FPUD|Fallbrook Utility District,DWR-IRWM|SDWIS
Rancho California Water District,RCWD,Rancho California Water|RCWD,Water District,Inland Empire,,Rancho California Water District|RCWD|Rancho California Water,DWR-IRWM|SDWIS
Elsinore Valley Municipal Water District,EVMWD,Elsinore Valley Water|EVMWD,Water District,Inland Empire,,Elsinore Valley Municipal Water District|EVMWD|Elsinore Valley Water,DWR-IRWM|SDWIS
Dublin San Ramon Services District,DSRSD,Dublin San Ramon Services|DSRSD,Sanitation District / Wastewater,East Bay,,Dublin San Ramon Services District|DSRSD|Dublin San Ramon Services,SDWIS|LOCAL
East Bay Dischargers Authority,EBDA,East Bay Dischargers|EBDA,Joint Powers Authority,East Bay,Wastewater treatment JPA,East Bay Dischargers Authority|EBDA|East Bay Dischargers,LOCAL
Central Contra Costa Sanitary District,Central San,Central San|CCCSD|Central Contra Costa Sanitary,Sanitation District / Wastewater,East Bay,,Central Contra Costa Sanitary District|Central San|CCCSD|Central Contra Costa Sanitary,SDWIS|LOCAL
Sacramento Regional County Sanitation District,SRCSD,Sacramento Regional Sanitation|Sac Regional Sanitation|SRCSD,Sanitation District / Wastewater,North Sacramento Valley,,Sacramento Regional County Sanitation District|SRCSD|Sacramento Regional Sanitation|Sac Regional Sanitation,SDWIS|LOCAL
Santa Ana Watershed Project Authority,SAWPA,Santa Ana Watershed Authority|SAWPA,Joint Powers Authority,Santa Ana Watershed|Inland Empire,Manages the IRWM for the Santa Ana watershed region,Santa Ana Watershed Project Authority|SAWPA|Santa Ana Watershed Authority,LOCAL
Borrego Water District,BWD,Borrego Water|BWD,Water District,Anza Borrego Desert,,Borrego Water District|BWD|Borrego Water,DWR-IRWM|SDWIS
City of Burbank Water and Power,BWP,Burbank Water and Power|BWP|Burbank Water,Municipal Utility,Greater Los Angeles County,,City of Burbank Water and Power|BWP|Burbank Water and Power|Burbank Water,SDWIS|LOCAL
"City of Glendale Public Works, Water and Power",GWP,Glendale Water and Power|GWP|Glendale Water,Municipal Utility,Greater Los Angeles County,,"City of Glendale Public Works, Water and Power|GWP|Glendale Water and Power|Glendale Water",SDWIS|LOCAL
Pasadena Water and Power,PWP,Pasadena Water|PWP|City of Pasadena Water,Municipal Utility,Greater Los Angeles County,,Pasadena Water and Power|PWP|Pasadena Water|City of Pasadena Water,SDWIS|LOCAL
Fresno Metropolitan Flood Control District,FMFCD,Fresno Flood Control|Fresno Metro Flood|FMFCD,Water District,San Joaquin River,,Fresno Metropolitan Flood Control District|FMFCD|Fresno Flood Control|Fresno Metro Flood,DWR-IRWM|SDWIS
City of Fresno Department of Public Utilities,Fresno DPU,Fresno Water|City of Fresno Water|Fresno DPU,Municipal Utility,San Joaquin River,,City of Fresno Department of Public Utilities|Fresno DPU|Fresno Water|City of Fresno Water,SDWIS|LOCAL
Tahoe-Truckee Sanitation Agency,T-TSA,Tahoe Truckee Sanitation|T-TSA|TTSA,Sanitation District / Wastewater,Lake Tahoe,,Tahoe-Truckee Sanitation Agency|T-TSA|Tahoe Truckee Sanitation|TTSA,SDWIS|LOCAL
Truckee Meadows Water Authority,TMWA,Truckee Meadows Water|TMWA,Water Authority / Wholesaler,Lake Tahoe,Based in Nevada; relevant to Truckee River watershed,Truckee Meadows Water Authority|TMWA|Truckee Meadows Water,DWR-IRWM|DWR-SWP
North Coast County Water District,NCCWD,North Coast County Water|NCCWD,Water District,North Bay,,North Coast County Water District|NCCWD|North Coast County Water,DWR-IRWM|SDWIS
Mokelumne/Amador/Calaveras Integrated Regional Water Management Group,MAC,MAC IRWM|Mokelumne Amador Calaveras|MAC Group,Collaborative / Advisory Body,Mokelumne/Amador/Calaveras,,Mokelumne/Amador/Calaveras Integrated Regional Water Management Group|MAC|MAC IRWM|Mokelumne Amador Calaveras|MAC Group,DWR-IRWM
Cosumnes/American/Bear/Yuba IRWM Region,CABY,CABY Region|Cosumnes American Bear Yuba|CABY IRWM,Collaborative / Advisory Body,CABY,,Cosumnes/American/Bear/Yuba IRWM Region|CABY|CABY Region|Cosumnes American Bear Yuba|CABY IRWM,DWR-IRWM
Kern Groundwater Authority,KGA,Kern Groundwater|KGA,Groundwater Sustainability Agency,Kern County,Formed under SGMA for Kern Subbasin,Kern Groundwater Authority|KGA|Kern Groundwater,DWR-SGMA
Fresno Groundwater Authority,FGA,Fresno Groundwater|FGA,Groundwater Sustainability Agency,San Joaquin River,Formed under SGMA for Kings Subbasin/Fresno area,Fresno Groundwater Authority|FGA|Fresno Groundwater,DWR-SGMA
Kings River Conservation District GSA,KRCD GSA,Kings River GSA|KRCD GSA,Groundwater Sustainability Agency,Kings Basin,SGMA GSA for Kings Subbasin,Kings River Conservation District GSA|KRCD GSA|Kings River GSA,DWR-SGMA
East Kaweah Groundwater Sustainability Agency,East Kaweah GSA,East Kaweah GSA,Groundwater Sustainability Agency,Kaweah River Basin,,East Kaweah Groundwater Sustainability Agency|East Kaweah GSA,DWR-SGMA
Montecito Groundwater Sustainability Agency,Montecito GSA,Montecito GSA,Groundwater Sustainability Agency,Central Coast,,Montecito Groundwater Sustainability Agency|Montecito GSA,DWR-SGMA
Pajaro Valley Water Management Agency GSA,PVWMA GSA,Pajaro Valley GSA|PVWMA GSA,Groundwater Sustainability Agency,Pajaro River Watershed,,Pajaro Valley Water Management Agency GSA|PVWMA GSA|Pajaro Valley GSA,DWR-SGMA
San Joaquin Valley Drainage Program,SJVDP,San Joaquin Drainage Program|SJVDP,Collaborative / Advisory Body,San Joaquin River|Tulare Lake,Joint federal-state program addressing drainage in San Joaquin Valley,San Joaquin Valley Drainage Program|SJVDP|San Joaquin Drainage Program,DWR-IRWM
Sustainable Groundwater Management Act,SGMA,SGMA,Regulatory Framework,Statewide,2014 state law; not an agency but frequently cited as an actor in IRWM plans,Sustainable Groundwater Management Act|SGMA,CA-LAW
Sacramento Valley Water Alliance,SVWA,Sacramento Valley Water|SVWA,Collaborative / Advisory Body,North Sacramento Valley|Sacramento Valley,,Sacramento Valley Water Alliance|SVWA|Sacramento Valley Water,DWR-IRWM
Northern California Water Association,NCWA,Northern California Water|NCWA,Collaborative / Advisory Body,North Sacramento Valley,Represents Sacramento Valley water rights holders,Northern California Water Association|NCWA|Northern California Water,DWR-IRWM
Association of California Water Agencies,ACWA,ACWA|CA Water Agencies,Collaborative / Advisory Body,Statewide,Largest statewide coalition of public water agencies; ~470 members,Association of California Water Agencies|ACWA|CA Water Agencies,DWR-IRWM
California Association of Sanitation Agencies,CASA,CASA|CA Sanitation Agencies,Collaborative / Advisory Body,Statewide,,California Association of Sanitation Agencies|CASA|CA Sanitation Agencies,DWR-IRWM
California Water Agencies Joint Powers Authority,CalWater JPA,CA Water Agencies JPA,Joint Powers Authority,Statewide,,California Water Agencies Joint Powers Authority|CalWater JPA|CA Water Agencies JPA,LOCAL
California Urban Water Agencies,CUWA,CA Urban Water Agencies|CUWA,Collaborative / Advisory Body,Statewide,,California Urban Water Agencies|CUWA|CA Urban Water Agencies,DWR-IRWM
Regional Water Authority,RWA,Sacramento Regional Water Authority|RWA,Collaborative / Advisory Body,North Sacramento Valley,,Regional Water Authority|RWA|Sacramento Regional Water Authority,DWR-IRWM
Klamath River Renewal Corporation,KRRC,Klamath River Renewal|KRRC,Collaborative / Advisory Body,North Coast|Klamath Basin,Led dam removal on the Klamath River (completed 2024),Klamath River Renewal Corporation|KRRC|Klamath River Renewal,DWR-IRWM
Sites Project Authority,SPA,Sites Reservoir Authority|Sites Project|SPA,Collaborative / Advisory Body,North Sacramento Valley,Planning Sites Reservoir off-stream storage project,Sites Project Authority|SPA|Sites Reservoir Authority|Sites Project,DWR-IRWM
California WaterFix,WaterFix,California WaterFix|Delta Tunnels|Twin Tunnels,Regulatory Framework,Sacramento-San Joaquin Delta,Now rebranded as the Delta Conveyance Project (DCP),California WaterFix|WaterFix|Delta Tunnels|Twin Tunnels,CA-LAW
Delta Conveyance Project,DCP,Delta Conveyance|Delta Tunnel|DCP|Delta Conveyance Design and Construction Authority,Collaborative / Advisory Body,Sacramento-San Joaquin Delta,Formerly California WaterFix,Delta Conveyance Project|DCP|Delta Conveyance|Delta Tunnel|Delta Conveyance Design and Construction Authority,DWR-IRWM
IRWM Roundtable of Regions,Roundtable of Regions,Roundtable of Regions|IRWM Roundtable,Collaborative / Advisory Body,Statewide,Forum for California's IRWM planning regions,IRWM Roundtable of Regions|Roundtable of Regions|IRWM Roundtable,DWR-IRWM
Western States Water Council,WSWC,Western States Water|WSWC,Collaborative / Advisory Body,Statewide,,Western States Water Council|WSWC|Western States Water,DWR-IRWM
WateReuse California,WateReuse CA,WateReuse|California WateReuse|WateReuse California,Collaborative / Advisory Body,Statewide,Advocates for water recycling and reuse policy,WateReuse California|WateReuse CA|WateReuse|California WateReuse,DWR-IRWM
California Stormwater Quality Association,CASQA,CA Stormwater Quality Association|CASQA,Collaborative / Advisory Body,Statewide,,California Stormwater Quality Association|CASQA|CA Stormwater Quality Association,DWR-IRWM
Bay Area Stormwater Management Agencies Association,BASMAA,Bay Area Stormwater|BASMAA,Collaborative / Advisory Body,Bay Area,,Bay Area Stormwater Management Agencies Association|BASMAA|Bay Area Stormwater,DWR-IRWM
The Nature Conservancy,TNC,Nature Conservancy|TNC|The Nature Conservancy California,Environmental NGO,Statewide,,The Nature Conservancy|TNC|Nature Conservancy|The Nature Conservancy California,NGO
Natural Resources Defense Council,NRDC,NRDC|Natural Resources Defense|Natural Resources Defense Council,Environmental NGO,Statewide,Offices in Los Angeles and San Francisco,Natural Resources Defense Council|NRDC|Natural Resources Defense,NGO
Environmental Defense Fund,EDF,EDF|Environmental Defense|Environmental Defense Fund,Environmental NGO,Statewide,,Environmental Defense Fund|EDF|Environmental Defense,NGO
Pacific Institute,PI,Pacific Institute|PI,Research Organization,Statewide,Oakland-based water and environmental policy research nonprofit,Pacific Institute|PI,LOCAL
American Rivers,AR,American Rivers|AR,Environmental NGO,Statewide,,American Rivers|AR,NGO
Friends of the River,FOR,Friends of the River|FOR,Environmental NGO,Statewide,California-focused river conservation advocacy,Friends of the River|FOR,NGO
California Trout,CalTrout,CalTrout|California Trout|Cal Trout,Environmental NGO,Statewide,Wild fisheries and watershed conservation,California Trout|CalTrout|Cal Trout,NGO
Trout Unlimited,TU,Trout Unlimited|TU,Environmental NGO,Statewide,,Trout Unlimited|TU,NGO
Audubon California,Audubon CA,Audubon California|Audubon Society California|California Audubon,Environmental NGO,Statewide,,Audubon California|Audubon CA|Audubon Society California|California Audubon,NGO
Center for Biological Diversity,CBD,Center for Biological Diversity|CBD,Environmental NGO,Statewide,,Center for Biological Diversity|CBD,NGO
Earthjustice,EJ,Earthjustice|Earth Justice,Environmental NGO,Statewide,Environmental law firm; San Francisco and Los Angeles offices,Earthjustice|EJ|Earth Justice,NGO
Planning and Conservation League,PCL,Planning and Conservation League|PCL,Environmental NGO,Statewide,,Planning and Conservation League|PCL,NGO
California League of Conservation Voters,CLCV,CA League of Conservation Voters|CLCV,Environmental NGO,Statewide,,California League of Conservation Voters|CLCV|CA League of Conservation Voters,NGO
Sierra Club California,Sierra Club CA,Sierra Club|Sierra Club California|Sierra Club CA,Environmental NGO,Statewide,,Sierra Club California|Sierra Club CA|Sierra Club,NGO
Mono Lake Committee,MLC,Mono Lake Committee|MLC,Environmental NGO,Inyo-Mono,Advocates for Mono Lake ecosystem restoration,Mono Lake Committee|MLC,NGO
Owens Valley Committee,OVC,Owens Valley Committee|OVC,Environmental NGO,Inyo-Mono,,Owens Valley Committee|OVC,NGO
Environmental Justice Coalition for Water,EJCW,Environmental Justice Coalition for Water|EJCW,Environmental Justice NGO,Statewide,,Environmental Justice Coalition for Water|EJCW,NGO|OEHHA
Community Water Center,CWC,Community Water Center|CWC,Environmental Justice NGO,Tulare Lake|San Joaquin River,Focuses on safe drinking water access for disadvantaged communities in Central Valley,Community Water Center|CWC,NGO|OEHHA
Clean Water Fund,CWF,Clean Water Fund|CWF,Environmental NGO,Statewide,,Clean Water Fund|CWF,NGO
Clean Water Action,CWA,Clean Water Action|CWA,Environmental NGO,Statewide,Note: CWA also used as abbreviation for Clean Water Act (federal law),Clean Water Action|CWA,NGO
California Water Action Collaborative,CWAC,California Water Action Collaborative|CWAC,Collaborative / Advisory Body,Statewide,Multi-stakeholder network for collective water stewardship action,California Water Action Collaborative|CWAC,DWR-IRWM
NGO Groundwater Collaborative,NGC,NGO Groundwater Collaborative|NGC|Groundwater Collaborative,Collaborative / Advisory Body,Statewide,~150 environmental and environmental justice groups advocating for SGMA implementation,NGO Groundwater Collaborative|NGC|Groundwater Collaborative,DWR-IRWM
California Coastkeeper Alliance,CCKA,California Coastkeeper|CCKA|Coastkeeper Alliance,Environmental NGO,Statewide,,California Coastkeeper Alliance|CCKA|California Coastkeeper|Coastkeeper Alliance,NGO
Surfrider Foundation,Surfrider,Surfrider Foundation,Environmental NGO,South Coast|San Diego|Orange County,,Surfrider Foundation|Surfrider,NGO
Heal the Bay,HTB,Heal the Bay|HTB,Environmental NGO,Greater Los Angeles County|South Coast,,Heal the Bay|HTB,NGO
Salton Sea Authority,SSA,Salton Sea Authority|SSA,Collaborative / Advisory Body,Imperial|Coachella Valley,JPA of local agencies for Salton Sea restoration,Salton Sea Authority|SSA,DWR-IRWM
Ducks Unlimited,DU,Ducks Unlimited|DU,Environmental NGO,Statewide,Wetland habitat conservation; active in Central Valley,Ducks Unlimited|DU,NGO
California Waterfowl Association,CWA,California Waterfowl|CWA|California Waterfowl Association,Environmental NGO,Statewide,Note: CWA abbreviation also used by Clean Water Action and Clean Water Act,California Waterfowl Association|CWA|California Waterfowl,NGO
Tulare Basin Wildlife Partners,TBWP,Tulare Basin Wildlife|TBWP,Environmental NGO,Tulare Lake,,Tulare Basin Wildlife Partners|TBWP|Tulare Basin Wildlife,NGO
San Joaquin River Restoration Program,SJRRP,San Joaquin River Restoration|SJRRP,Collaborative / Advisory Body,San Joaquin River,Federal-state program to restore flows and salmon to the San Joaquin River,San Joaquin River Restoration Program|SJRRP|San Joaquin River Restoration,DWR-IRWM
Scott Valley Groundwater Advisory Committee,SVGAC,Scott Valley Advisory Committee|SVGAC|Scott Valley Groundwater,Collaborative / Advisory Body,Klamath Basin,,Scott Valley Groundwater Advisory Committee|SVGAC|Scott Valley Advisory Committee|Scott Valley Groundwater,DWR-IRWM
Self-Help Enterprises,SHE,Self Help Enterprises|SHE,Environmental Justice NGO,Tulare Lake|San Joaquin River|Madera,Supports disadvantaged communities in Central Valley; active in IRWM planning,Self-Help Enterprises|SHE|Self Help Enterprises,NGO|OEHHA
California Institute for Rural Studies,CIRS,CA Institute for Rural Studies|CIRS,Research Organization,Statewide,,California Institute for Rural Studies|CIRS|CA Institute for Rural Studies,LOCAL
Water Education Foundation,WEF,Water Education Foundation|WEF,Research Organization,Statewide,Sacramento-based nonprofit that publishes Western Water magazine,Water Education Foundation|WEF,LOCAL
Public Policy Institute of California,PPIC,PPIC|Public Policy Institute|PPIC Water Policy Center,Research Organization,Statewide,Conducts influential research on CA water governance,Public Policy Institute of California|PPIC|Public Policy Institute|PPIC Water Policy Center,LOCAL
UC Davis Center for Watershed Sciences,CWS,Center for Watershed Sciences|UC Davis CWS|CWS,Research Organization,Statewide,University-based water research center,UC Davis Center for Watershed Sciences|CWS|Center for Watershed Sciences|UC Davis CWS,LOCAL
Stanford Woods Institute for the Environment,Stanford Woods,Stanford Water in the West|Stanford Woods Institute|Stanford Woods,Research Organization,Statewide,,Stanford Woods Institute for the Environment|Stanford Woods|Stanford Water in the West|Stanford Woods Institute,LOCAL
Urban Water Institute,UWI,Urban Water Institute|UWI,Collaborative / Advisory Body,Statewide,,Urban Water Institute|UWI,DWR-IRWM
California Agricultural Water Stewardship Initiative,CAWSI,CA Agricultural Water Stewardship|CAWSI,Collaborative / Advisory Body,Statewide,,California Agricultural Water Stewardship Initiative|CAWSI|CA Agricultural Water Stewardship,DWR-IRWM
American Water Works Association,AWWA,AWWA|American Water Works|California-Nevada AWWA|CA-NV AWWA,Collaborative / Advisory Body,Statewide,Water utility professional association,American Water Works Association|AWWA|American Water Works|California-Nevada AWWA|CA-NV AWWA,DWR-IRWM
WaterNow Alliance,WaterNow,WaterNow Alliance|WaterNow,Collaborative / Advisory Body,Statewide,Network of local water leaders advancing sustainable water solutions,WaterNow Alliance|WaterNow,DWR-IRWM
Water Research Foundation,WRF,Water Research Foundation|WRF|Water Research Foundation,Research Organization,Statewide,Formerly Water Research Foundation (WRF) / AwwaRF,Water Research Foundation|WRF,LOCAL
Yurok Tribe,Yurok,Yurok Indian Tribe|Yurok Tribe of the Yurok Reservation,Tribal Entity,North Coast|Klamath Basin,FR; California's largest federally recognized tribe; holds Klamath River fishing and water rights,Yurok Tribe|Yurok|Yurok Indian Tribe|Yurok Tribe of the Yurok Reservation,BIA-Tribal|NAHC
Karuk Tribe,Karuk,Karuk Tribe of California|Karuk Indian Tribe,Tribal Entity,North Coast|Klamath Basin,FR; active in Klamath dam removal and instream flow advocacy,Karuk Tribe|Karuk|Karuk Tribe of California|Karuk Indian Tribe,BIA-Tribal|NAHC
Hoopa Valley Tribe,Hoopa,Hoopa Valley Tribe of the Hoopa Valley Reservation|Hupa Tribe,Tribal Entity,North Coast|Klamath Basin,"FR; holds federally protected fishing and water rights; largest CA reservation (~80,000 ac)",Hoopa Valley Tribe|Hoopa|Hoopa Valley Tribe of the Hoopa Valley Reservation|Hupa Tribe,BIA-Tribal|NAHC
Wiyot Tribe,Wiyot,Wiyot Tribe of the Table Bluff Rancheria|Table Bluff Rancheria,Tribal Entity,North Coast,FR; Humboldt Bay area; active in bay and estuary water quality,Wiyot Tribe|Wiyot|Wiyot Tribe of the Table Bluff Rancheria|Table Bluff Rancheria,BIA-Tribal|NAHC
Tolowa Dee-ni' Nation,Tolowa Dee-ni',Tolowa Dee-ni Nation|Smith River Rancheria|Tolowa Nation,Tribal Entity,North Coast,FR; Del Norte County; formerly Smith River Rancheria,Tolowa Dee-ni' Nation|Tolowa Dee-ni'|Tolowa Dee-ni Nation|Smith River Rancheria|Tolowa Nation,BIA-Tribal|NAHC
Cher-Ae Heights Indian Community,Cher-Ae Heights,Trinidad Rancheria|Cher-Ae Heights Indian Community of the Trinidad Rancheria,Tribal Entity,North Coast,FR; Humboldt County; Trinidad Bay area,Cher-Ae Heights Indian Community|Cher-Ae Heights|Trinidad Rancheria|Cher-Ae Heights Indian Community of the Trinidad Rancheria,BIA-Tribal|NAHC
Bear River Band of the Rohnerville Rancheria,Bear River Band,Bear River Band|Rohnerville Rancheria,Tribal Entity,North Coast,FR; Humboldt County,Bear River Band of the Rohnerville Rancheria|Bear River Band|Rohnerville Rancheria,BIA-Tribal|NAHC
Blue Lake Rancheria,Blue Lake Rancheria,Blue Lake Rancheria|Blue Lake Tribe,Tribal Entity,North Coast,FR; Humboldt County; active in Tribal Beneficial Uses,Blue Lake Rancheria|Blue Lake Tribe,BIA-Tribal|NAHC
Resighini Rancheria,Resighini Rancheria,Resighini Rancheria,Tribal Entity,North Coast|Klamath Basin,FR; Del Norte County; Klamath River,Resighini Rancheria,BIA-Tribal|NAHC
Federated Indians of Graton Rancheria,Graton Rancheria,Graton Rancheria|Graton Band|Federated Indians of Graton|Coast Miwok Tribe,Tribal Entity,North Bay|Russian River,FR; Coast Miwok and Southern Pomo peoples; Marin/Sonoma counties,Federated Indians of Graton Rancheria|Graton Rancheria|Graton Band|Federated Indians of Graton|Coast Miwok Tribe,BIA-Tribal|NAHC
Dry Creek Rancheria Band of Pomo Indians,Dry Creek Rancheria,Dry Creek Rancheria|Dry Creek Pomo,Tribal Entity,North Bay|Russian River,FR; Sonoma County; Russian River watershed,Dry Creek Rancheria Band of Pomo Indians|Dry Creek Rancheria|Dry Creek Pomo,BIA-Tribal|NAHC
Kashia Band of Pomo Indians,Kashia Pomo,Kashia Band|Kashia Pomo|Stewarts Point Rancheria,Tribal Entity,North Bay|Russian River,FR; Sonoma County,Kashia Band of Pomo Indians|Kashia Pomo|Kashia Band|Stewarts Point Rancheria,BIA-Tribal|NAHC
Round Valley Indian Tribes,Round Valley Tribes,Round Valley Indian Tribes|Round Valley Reservation,Tribal Entity,North Coast|Russian River,FR; Mendocino County; Eel River watershed,Round Valley Indian Tribes|Round Valley Tribes|Round Valley Reservation,BIA-Tribal|NAHC
Pinoleville Pomo Nation,Pinoleville Pomo,Pinoleville Pomo Nation|Pinoleville Rancheria,Tribal Entity,North Coast|Russian River,FR; Mendocino County; Russian River,Pinoleville Pomo Nation|Pinoleville Pomo|Pinoleville Rancheria,BIA-Tribal|NAHC
Hopland Band of Pomo Indians,Hopland Pomo,Hopland Band|Hopland Pomo|Hopland Rancheria,Tribal Entity,Russian River,FR; Mendocino County; active in Russian River water quality,Hopland Band of Pomo Indians|Hopland Pomo|Hopland Band|Hopland Rancheria,BIA-Tribal|NAHC
Potter Valley Tribe,Potter Valley Tribe,Potter Valley Tribe|Potter Valley Rancheria,Tribal Entity,Russian River,FR; Mendocino County; Eel-to-Russian River diversion,Potter Valley Tribe|Potter Valley Rancheria,BIA-Tribal|NAHC
Winnemem Wintu Tribe,Winnemem Wintu,Winnemem Wintu|Wintu|McCloud River Wintu,Tribal Entity,North Sacramento Valley,NFR (not federally recognized); active in Shasta Dam and McCloud River water governance,Winnemem Wintu Tribe|Winnemem Wintu|Wintu|McCloud River Wintu,BIA-Tribal|NAHC
Redding Rancheria,Redding Rancheria,Redding Rancheria|Redding Rancheria Tribe|Wintu Yana Pit River,Tribal Entity,North Sacramento Valley,"FR; Shasta County; Pit River, Wintu, and Yana peoples",Redding Rancheria|Redding Rancheria Tribe|Wintu Yana Pit River,BIA-Tribal|NAHC
Pit River Tribe,Pit River Tribe,Pit River Tribe|Pit River Indian Tribe|Ajumawi|Atsugewi,Tribal Entity,North Sacramento Valley|Klamath Basin,"FR; 11 bands across Shasta, Siskiyou, Modoc, Lassen counties; has dedicated water department",Pit River Tribe|Pit River Indian Tribe|Ajumawi|Atsugewi,BIA-Tribal|NAHC
Shasta Indian Nation,Shasta Indian Nation,Shasta Indian Nation|Shasta Nation,Tribal Entity,North Sacramento Valley|Klamath Basin,NFR (state-recognized); Klamath River; active in dam removal and land return,Shasta Indian Nation|Shasta Nation,BIA-Tribal|NAHC
Paskenta Band of Nomlaki Indians,Paskenta Band,Paskenta Band of Nomlaki Indians|Paskenta Nomlaki|Paskenta Rancheria,Tribal Entity,North Sacramento Valley,FR; Tehama County,Paskenta Band of Nomlaki Indians|Paskenta Band|Paskenta Nomlaki|Paskenta Rancheria,BIA-Tribal|NAHC
Mechoopda Indian Tribe of Chico Rancheria,Mechoopda,Mechoopda Indian Tribe|Mechoopda Tribe|Chico Rancheria,Tribal Entity,Feather River,FR; Butte County; Feather River watershed,Mechoopda Indian Tribe of Chico Rancheria|Mechoopda|Mechoopda Indian Tribe|Mechoopda Tribe|Chico Rancheria,BIA-Tribal|NAHC
Enterprise Rancheria of Maidu Indians,Enterprise Rancheria,Enterprise Rancheria|Estom Yumeka Maidu Tribe,Tribal Entity,Feather River,FR; Butte County; active in SWRCB Tribal Beneficial Uses (TBU) basin planning,Enterprise Rancheria of Maidu Indians|Enterprise Rancheria|Estom Yumeka Maidu Tribe,BIA-Tribal|NAHC
Mooretown Rancheria of Maidu Indians,Mooretown Rancheria,Mooretown Rancheria|Mooretown Maidu,Tribal Entity,Feather River,FR; Butte County,Mooretown Rancheria of Maidu Indians|Mooretown Rancheria|Mooretown Maidu,BIA-Tribal|NAHC
United Auburn Indian Community,UAIC,United Auburn Indian Community|Auburn Rancheria,Tribal Entity,American River Basin|CABY,FR; Placer County; Bear River watershed,United Auburn Indian Community|UAIC|Auburn Rancheria,BIA-Tribal|NAHC
Shingle Springs Band of Miwok Indians,Shingle Springs Miwok,Shingle Springs Band|Shingle Springs Rancheria,Tribal Entity,El Dorado,FR; El Dorado County,Shingle Springs Band of Miwok Indians|Shingle Springs Miwok|Shingle Springs Band|Shingle Springs Rancheria,BIA-Tribal|NAHC
Washoe Tribe of Nevada and California,Washoe Tribe,Washoe Tribe|Washoe People,Tribal Entity,Lake Tahoe,FR; Lake Tahoe basin; active in Carson and Truckee river water governance,Washoe Tribe of Nevada and California|Washoe Tribe|Washoe People,BIA-Tribal|NAHC
Tuolumne Band of Me-Wuk Indians,Tuolumne Me-Wuk,Tuolumne Band|Tuolumne Rancheria|Me-Wuk,Tribal Entity,Mokelumne/Amador/Calaveras,FR; Tuolumne County,Tuolumne Band of Me-Wuk Indians|Tuolumne Me-Wuk|Tuolumne Band|Tuolumne Rancheria|Me-Wuk,BIA-Tribal|NAHC
Amah Mutsun Tribal Band,Amah Mutsun,Amah Mutsun Tribal Band|Amah Mutsun Land Trust|Ohlone Mutsun,Tribal Entity,Bay Area|Santa Clara Valley|Central Coast,NFR; active in SF Bay and Central Coast water and land stewardship,Amah Mutsun Tribal Band|Amah Mutsun|Amah Mutsun Land Trust|Ohlone Mutsun,BIA-Tribal|NAHC
Muwekma Ohlone Tribe,Muwekma Ohlone,Muwekma Ohlone Tribe|Muwekma Ohlone|Ohlone Tribe,Tribal Entity,Bay Area|East Bay,NFR; SF Bay Area; active in SF Bay water quality and estuary restoration,Muwekma Ohlone Tribe|Muwekma Ohlone|Ohlone Tribe,BIA-Tribal|NAHC
Tule River Indian Tribe,Tule River Tribe,Tule River Indian Tribe|Tule River Tribe|Tule River Reservation Tribe,Tribal Entity,Kaweah River Basin|Tulare Lake,FR; Tulare County; Yokuts and Western Mono peoples; active in Sierra watershed restoration,Tule River Indian Tribe|Tule River Tribe|Tule River Reservation Tribe,BIA-Tribal|NAHC
Table Mountain Rancheria,Table Mountain Rancheria,Table Mountain Rancheria|Chukchansi Tribe|Table Mountain Band,Tribal Entity,San Joaquin River|Madera,FR; Fresno County,Table Mountain Rancheria|Chukchansi Tribe|Table Mountain Band,BIA-Tribal|NAHC
Picayune Rancheria of Chukchansi Indians,Picayune Rancheria,Picayune Rancheria|Chukchansi Indians,Tribal Entity,San Joaquin River|Madera,FR; Madera/Fresno counties,Picayune Rancheria of Chukchansi Indians|Picayune Rancheria|Chukchansi Indians,BIA-Tribal|NAHC
North Fork Rancheria of Mono Indians,North Fork Rancheria,North Fork Rancheria|North Fork Mono,Tribal Entity,San Joaquin River|Madera,FR; Madera County; San Joaquin River headwaters,North Fork Rancheria of Mono Indians|North Fork Rancheria|North Fork Mono,BIA-Tribal|NAHC
